Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap,Reason
vww,tvmaot,etiss,61.0,73728010.0,41.0,73728349.0,529122.0,281492.0,452040.0,77070.0,277532.0,1208.0,1032.0,
vww,tvmaotplus,etiss,42.0,58345686.0,41.0,58346006.0,533210.0,182680.0,463072.0,70126.0,179224.0,696.0,1032.0,
vww,ireellvm,etiss,395612.0,81554107.0,20368.0,81970324.0,1111868.0,663528.0,305008.0,806848.0,28840.0,14972.0,614712.0,
vww,ireellvm_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
vww,ireellvmc,etiss,59751.0,81415884.0,20087.0,81495959.0,906746.0,666584.0,269456.0,637278.0,28840.0,18556.0,614200.0,
vww,ireellvmc_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
