Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap
aww,tvmaot,etiss,61,27448151,41,27448489,108898,110888,54264,54622,106896,1240,1032
aww,tvmaotplus,etiss,42,21206580,41,21206899,107626,61172,56352,51262,57716,696,1032
aww,ireellvm,etiss,257083,19797578,20003,20074899,470356,211676,85096,385248,1700,12060,193024
aww,ireellvm_inline,etiss,119321,19611764,19941,19751261,442076,76564,78128,363936,1668,10972,60096
aww,ireellvmc,etiss,49350,19725161,19722,19794468,254914,212764,54600,200302,1700,13692,192496
aww,ireellvmc_inline,etiss,27113,19574702,19740,19621790,211362,76708,51976,159374,1668,11308,59920
