Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap
toycar,tvmaot,etiss,60,958599,41,958936,591394,8152,537928,53454,4280,1120,1032
toycar,tvmaotplus,etiss,42,960062,41,960380,590266,7316,537744,52510,3860,696,1032
toycar,ireellvm,etiss,157950,2009169,19375,2186729,742324,93148,328216,414096,2468,12172,73680
toycar,ireellvm_inline,etiss,77434,1955234,19269,2052172,715708,24924,322976,392720,2436,11068,7656
toycar,ireellvmc,etiss,47367,1984425,19096,2051123,514266,92780,301328,212926,2468,12300,73200
toycar,ireellvmc_inline,etiss,27020,1940506,19068,1986829,481770,24492,298608,183150,2436,10828,7480
