Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap
resnet,tvmaot,etiss,61,77567036,41,77567375,218642,127324,162072,56558,123236,1336,1032
resnet,tvmaotplus,etiss,42,77127142,41,77127462,215866,110084,163296,52558,106628,696,1032
resnet,ireellvm,etiss,367368,84538734,20141,84926480,546452,580192,142792,403648,4260,12448,558512
resnet,ireellvm_inline,etiss,165013,84194477,20485,84380212,516396,824456,134096,382288,4228,11360,804960
resnet,ireellvmc,etiss,50509,84414599,19770,84485115,345586,583120,108520,237054,4260,15920,557984
resnet,ireellvmc_inline,etiss,28260,84135077,20286,84183860,286930,825192,105896,181022,4228,12288,804784
