Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap,Reason
aww,tvmaot,etiss,61.0,27448151.0,41.0,27448489.0,108898.0,110888.0,54264.0,54622.0,106896.0,1240.0,1032.0,
aww,tvmaotplus,etiss,42.0,21206580.0,41.0,21206899.0,107626.0,61172.0,56352.0,51262.0,57716.0,696.0,1032.0,
aww,ireevmvx,etiss,933757.0,2328582296.0,25662.0,2329541950.0,522876.0,274988.0,123024.0,399840.0,1700.0,21308.0,246120.0,
aww,ireevmvx_inline,etiss,489487.0,1937907300.0,19531.0,1938416553.0,462804.0,109260.0,86632.0,376160.0,1664.0,10536.0,92496.0,
aww,ireellvm,etiss,256503.0,26335150.0,20017.0,26611905.0,689748.0,214516.0,85032.0,604704.0,1700.0,14916.0,193008.0,
aww,ireellvm_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
aww,ireellvmc,etiss,49268.0,26262736.0,19736.0,26331975.0,474418.0,215652.0,54600.0,419806.0,1700.0,16580.0,192496.0,
aww,ireellvmc_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
