Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap
mul2,ireevmvx,etiss,134196,451599,21212,607250,450212,125740,49688,400512,13476,21352,85048
mul2,ireevmvx_inline,etiss,46389,396006,19426,462064,420388,46872,43672,376704,13440,10552,18312
mul2,ireellvm,etiss,116964,35773,19539,172519,416540,114876,48064,368464,13476,12368,84232
mul2,ireellvm_inline,etiss,61564,26103,19995,107905,390852,46088,43848,346992,13444,10572,18336
mul2,ireellvmc,etiss,48423,29038,19227,96931,184714,114156,23088,161614,13476,12000,83896
mul2,ireellvmc_inline,etiss,30494,21022,19797,71556,155498,45304,20480,135006,13444,9956,18184
