Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap,Reason
magic_wand,tvmaot,etiss,61.0,284220.0,41.0,284558.0,67522.0,22384.0,20456.0,47054.0,18936.0,696.0,1032.0,
magic_wand,ireevmvx,etiss,411321.0,58658424.0,22903.0,59092883.0,478124.0,138780.0,78224.0,399888.0,2724.0,21468.0,108728.0,
magic_wand,ireevmvx_inline,etiss,124881.0,55969464.0,19675.0,56114255.0,441444.0,55228.0,65256.0,376176.0,2688.0,10536.0,37440.0,
magic_wand,ireellvm,etiss,195099.0,356097.0,19833.0,571264.0,445732.0,120816.0,67768.0,377952.0,2724.0,12352.0,100912.0,
magic_wand,ireellvm_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
magic_wand,ireellvmc,etiss,73594.0,348500.0,19508.0,441837.0,217458.0,119992.0,41048.0,176398.0,2724.0,12016.0,100440.0,
magic_wand,ireellvmc_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
