Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap
vww,tvmaot,etiss,61,73728010,41,73728349,529122,281492,452040,77070,277532,1208,1032
vww,tvmaotplus,etiss,42,58345686,41,58346006,533210,182680,463072,70126,179224,696,1032
vww,ireellvm,etiss,396206,59113715,20368,59530526,715436,660636,307312,408112,28840,12064,614728
vww,ireellvm_inline,etiss,210483,58791864,20656,59023240,685540,525532,298872,386656,28808,10984,481800
vww,ireellvmc,etiss,59847,58975495,20087,59055666,510202,663644,271632,238558,28840,15616,614200
vww,ireellvmc_inline,etiss,37572,58712389,20457,58770655,461658,526940,269072,192574,28808,12584,481624
