Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap,Reason
toycar,tvmaot,etiss,60.0,958599.0,41.0,958936.0,591394.0,8152.0,537928.0,53454.0,4280.0,1120.0,1032.0,
toycar,tvmaotplus,etiss,42.0,960062.0,41.0,960380.0,590266.0,7316.0,537744.0,52510.0,3860.0,696.0,1032.0,
toycar,ireevmvx,etiss,735185.0,1870291745.0,23644.0,1871050809.0,759276.0,639928.0,359376.0,399888.0,2468.0,21384.0,610216.0,
toycar,ireevmvx_inline,etiss,269031.0,162644030.0,18891.0,162932187.0,707684.0,74192.0,331496.0,376176.0,2432.0,10508.0,56688.0,
toycar,ireellvm,etiss,155518.0,29746088.0,19396.0,29921245.0,1623380.0,99196.0,328152.0,1295216.0,2468.0,18236.0,73664.0,
toycar,ireellvm_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
toycar,ireellvmc,etiss,47286.0,29722313.0,19110.0,29788944.0,1395354.0,98844.0,301328.0,1094014.0,2468.0,18364.0,73200.0,
toycar,ireellvmc_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
