Model,Backend,Target,Setup Cycles,Run Cycles,Deinit Cycles,Total Cycles,Total ROM,Total RAM,ROM read-only,ROM code,RAM zero-init data,RAM stack,RAM heap,Reason
micro_speech,tvmaot,etiss,61.0,1657316.0,41.0,1657654.0,82450.0,23820.0,36648.0,45790.0,20372.0,696.0,1032.0,
micro_speech,ireevmvx,etiss,297307.0,285688650.0,22615.0,286008807.0,473452.0,257000.0,73552.0,399888.0,3176.0,21420.0,226544.0,
micro_speech,ireevmvx_inline,etiss,85622.0,246506009.0,19675.0,246611541.0,439508.0,49160.0,63336.0,376160.0,3140.0,10536.0,30920.0,
micro_speech,ireellvm,etiss,168655.0,2301894.0,19850.0,2490634.0,438644.0,117180.0,66520.0,372112.0,3176.0,12352.0,96840.0,
micro_speech,ireellvm_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
micro_speech,ireellvmc,etiss,63952.0,2294440.0,19525.0,2378152.0,209954.0,116356.0,40152.0,169790.0,3176.0,12016.0,96368.0,
micro_speech,ireellvmc_inline,etiss,,,,,,,,,,,,AssertionError @ BUILD
